env,group_name,llm.path,id,colour_0,colour_1,mean_survival_months,max_survival_months,display_name
fish_baseline_concurrent,Meta-Llama-2-13B,/gpfs/home2/overven/.cache/huggingface/hub/llama13B/models--meta-llama--Llama-2-13b-chat-hf/snapshots/a2cb7a712bb6e5e736ca7f8cd98167f81a0b5bd8,fishing_v6.4_final/Meta-Llama-2-13B,"rgba(229, 22, 22, 1.0)","rgba(229, 22, 22, 0.2)",1,1,/gpfs/home2/overven/.cache/huggingface/hub/llama13B/models--meta-llama--Llama-2-13b-chat-hf/snapshots/a2cb7a712bb6e5e736ca7f8cd98167f81a0b5bd8
fish_baseline_concurrent,Meta-Llama-2-7B,/gpfs/home2/overven/.cache/huggingface/hub/models--meta-llama--Llama-2-7b-chat-hf/snapshots/f5db02db724555f92da89c216ac04704f23d4590,fishing_v6.4_final/Meta-Llama-2-7b,"rgba(188, 229, 22, 1.0)","rgba(188, 229, 22, 0.2)",1,1,/gpfs/home2/overven/.cache/huggingface/hub/models--meta-llama--Llama-2-7b-chat-hf/snapshots/f5db02db724555f92da89c216ac04704f23d4590
fish_baseline_concurrent,Meta-Llama-3-8B,/gpfs/home2/overven/.cache/huggingface/hub/meta-llama--Meta-Llama-3-8B-Instruct/snapshots/5f0b02c75b57c5855da9ae460ce51323ea669d8a,fishing_v6.4_final/Meta-Llama-3-8B,"rgba(22, 229, 105, 1.0)","rgba(22, 229, 105, 0.2)",2,2,/gpfs/home2/overven/.cache/huggingface/hub/meta-llama--Meta-Llama-3-8B-Instruct/snapshots/5f0b02c75b57c5855da9ae460ce51323ea669d8a
fish_baseline_concurrent,Mistral-7B-Instruct-v0.2,/gpfs/home2/overven/.cache/huggingface/hub/models--mistralai--Mistral-7B-Instruct-v0.2/snapshots/3ad372fc79158a2148299e3318516c786aeded6c,fishing_v6.4_final/Mistral-7B-Instruct-v0.2,"rgba(22, 105, 229, 1.0)","rgba(22, 105, 229, 0.2)",1,1,/gpfs/home2/overven/.cache/huggingface/hub/models--mistralai--Mistral-7B-Instruct-v0.2/snapshots/3ad372fc79158a2148299e3318516c786aeded6c
fish_baseline_concurrent,Phi-4,/gpfs/home2/overven/.cache/huggingface/hub/models--microsoft--phi-4/snapshots/f957856cd926f9d681b14153374d755dd97e45ed,fishing_v6.4_final/Phi-4,"rgba(188, 22, 229, 1.0)","rgba(188, 22, 229, 0.2)",3,3,/gpfs/home2/overven/.cache/huggingface/hub/models--microsoft--phi-4/snapshots/f957856cd926f9d681b14153374d755dd97e45ed
